.z.a,za-ip-address
.z.ac,zac-http-auth-from-cookie
.z.b,zb-dependencies
.z.bm,zbm-msg-validator
.z.c,zc-cores
.z.e,ze-tls-connection-status
.z.ex,zex-failed-primitive
.z.exit,zexit-action-on-exit
.z.ey,zey-argument-to-failed-primitive
.z.f,zf-file
.z.h,zh-host
.z.i,zi-pid
.z.K,zk-version
.z.k,zk-release-date
.z.l,zl-license
.z.N,zn-local-timespan
.z.n,zn-utc-timespan
.z.o,zo-os-version
.z.P,zp-local-timestamp
.z.p,zp-utc-timestamp
.z.pc,zpc-close
.z.pd,zpd-peach-handles
.z.pg,zpg-get
.z.ph,zph-http-get
.z.pi,zpi-input
.z.pm,zpm-http-options
.z.po,zpo-open
.z.pp,zpp-http-post
.z.pq,zpq-qcon
.z.ps,zps-set
.z.pw,zpw-validate-user
.z.q,zq-quiet-mode
.z.s,zs-self
.z.ts,zts-timer
.z.u,zu-user-id
.z.vs,zvs-value-set
.z.W,zw-handles
.z.w,zw-handle
.z.wc,zwc-websocket-close
.z.wo,zwo-websocket-open
.z.ws,zws-websockets
.z.X,zx-raw-command-line
.z.x,zx-argv
.z.Z,zz-local-datetime
.z.z,zz-utc-datetime
.z.zd,zzd-zip-defaults
.z.T,zt-zt-zd-zd-timedate-shortcuts
.z.t,zt-zt-zd-zd-timedate-shortcuts
.z.D,zt-zt-zd-zd-timedate-shortcuts
.z.d,zt-zt-zd-zd-timedate-shortcuts
