@   ref/overloads/#at
\   ref/overloads/#backslash
#   ref/overloads/#hash
.   ref/overloads/#dot
$   ref/overloads/#dollar
!   ref/overloads/#bang
?   ref/overloads/#query
'   ref/overloads/#quote
':  ref/overloads/#quotecolon
/   ref/overloads/#slash
_   ref/overloads/#underscore
+   ref/add
-   ref/subtract
*   ref/multiply
%   ref/divide
=   ref/equal
<>  ref/not-equal
<   ref/less-than
>=  ref/less-than
>=  ref/greater-than
<=  ref/greater-than
&   ref/lesser
|   ref/greater
~   ref/match
^   ref/fill
,   ref/join
/:  ref/maps/#each-left-and-each-right
\:  ref/maps/#each-left-and-each-right
0   basics/files
1   basics/files
2   basics/files
0:  ref/file-text
1:  ref/file-binary
2:  ref/dynamic-load
:   basics/syntax/#colon
::  ref/identity
